	3
EAST   29 STREET	7
EAST   30 STREET	17
EAST   31 STREET	29
EAST   32 STREET	8
EAST   33 STREET	18
EAST   34 STREET	9
EAST   35 STREET	23
EAST   36 STREET	12
EAST   37 STREET	17
EAST   38 STREET	19
EAST   39 STREET	5
EAST   40 STREET	4
EAST   41 STREET	4
EAST   42 STREET	11
EAST   43 STREET	10
EAST   44 STREET	2
EAST   45 STREET	32
EAST   46 STREET	12
EAST   47 STREET	4
EAST   48 STREET	5
EAST   49 STREET	20
EAST   50 STREET	40
EAST   51 STREET	24
EAST   52 STREET	35
EAST   53 STREET	40
EAST   54 STREET	17
EAST   55 STREET	13
EAST   56 STREET	4
EAST   57 STREET	31
EAST   58 STREET	22
EAST   59 STREET	11
EAST   60 STREET	23
EAST   61 STREET	9
EAST   62 STREET	18
EAST   63 STREET	9
EAST   64 STREET	3
EAST   65 STREET	3
EAST   66 STREET	19
EAST   67 STREET	8
EAST   68 STREET	8
EAST   69 STREET	13
EAST   70 STREET	9
EAST   71 STREET	12
EAST   72 STREET	16
EAST   73 STREET	20
EAST   74 STREET	20
EAST   75 STREET	7
EAST   76 STREET	17
EAST   77 STREET	8
EAST   78 STREET	52
EAST   79 STREET	14
EAST   80 STREET	14
EAST   81 STREET	27
EAST   82 STREET	33
EAST   83 STREET	60
EAST   84 STREET	28
EAST   85 STREET	16
EAST   86 STREET	14
EAST   87 STREET	54
EAST   88 STREET	37
EAST   89 STREET	11
EAST   90 STREET	40
EAST   91 STREET	51
EAST   92 STREET	28
EAST   93 STREET	51
EAST   94 STREET	18
EAST   95 STREET	46
EAST   96 STREET	33
EAST   97 STREET	13
EAST   98 STREET	10
EAST   99 STREET	14
EAST  100 STREET	50
EAST  101 STREET	12
EAST  102 STREET	29
EAST  103 STREET	17
EAST  104 STREET	65
EAST  105 STREET	39
EAST  106 STREET	38
EAST  107 STREET	7
EAST  108 STREET	6
EAST  109 STREET	2
EAST  110 STREET	8
EAST  111 STREET	16
EAST  112 STREET	24
EAST  115 STREET	51
EAST  116 STREET	44
EAST  117 STREET	32
EAST  118 STREET	44
EAST  119 STREET	17
EAST  120 STREET	9
EAST  121 STREET	4
EAST  122 STREET	4
EAST  123 STREET	8
EAST  124 STREET	10
EAST  125 STREET	68
EAST  126 STREET	6
EAST  127 STREET	4
EAST  128 STREET	5
EAST  129 STREET	7
EAST  130 STREET	14
EAST  131 STREET	14
EAST  132 STREET	19
EAST  134 STREET	11
EAST  135 STREET	8
EAST  136 STREET	2
EAST  138 STREET	123
EAST  139 STREET	17
EAST  140 STREET	19
EAST  141 STREET	27
EAST  142 STREET	19
EAST  143 STREET	4
EAST  144 STREET	5
EAST  145 STREET	5
EAST  146 STREET	23
EAST  147 STREET	5
EAST  148 STREET	25
EAST  149 STREET	25
EAST  150 STREET	2
EAST  151 STREET	13
EAST  152 STREET	16
EAST  153 STREET	18
EAST  154 STREET	15
EAST  155 STREET	4
EAST  156 STREET	22
EAST  158 STREET	19
EAST  159 STREET	10
EAST  160 STREET	14
EAST  161 STREET	33
EAST  162 STREET	8
EAST  163 STREET	32
EAST  164 STREET	24
EAST  165 STREET	18
EAST  166 STREET	14
EAST  167 STREET	50
EAST  168 STREET	22
EAST  169 STREET	41
EAST  170 STREET	33
EAST  171 STREET	32
EAST  172 STREET	21
EAST  173 STREET	14
EAST  174 STREET	73
EAST  175 STREET	26
EAST  176 STREET	19
EAST  177 STREET	21
EAST  178 STREET	84
EAST  179 STREET	11
EAST  180 STREET	11
EAST  181 STREET	19
EAST  182 STREET	23
EAST  183 STREET	30
EAST  184 STREET	28
EAST  185 STREET	15
EAST  186 STREET	2
EAST  187 STREET	38
EAST  188 STREET	26
EAST  189 STREET	5
EAST  191 STREET	5
EAST  193 STREET	3
EAST  194 STREET	3
EAST  195 STREET	7
EAST  196 STREET	11
EAST  197 STREET	24
EAST  198 STREET	47
EAST  199 STREET	22
EAST  201 STREET	3
EAST  202 STREET	1
EAST  203 STREET	3
EAST  204 STREET	72
EAST  205 STREET	6
EAST  206 STREET	15
EAST  207 STREET	6
EAST  208 STREET	2
EAST  209 STREET	12
EAST  211 STREET	15
EAST  212 STREET	4
EAST  213 STREET	15
EAST  214 STREET	9
EAST  215 STREET	8
EAST  216 STREET	6
EAST  217 STREET	4
EAST  218 STREET	5
EAST  219 STREET	5
EAST  220 STREET	3
EAST  221 STREET	7
EAST  222 STREET	31
EAST  223 STREET	4
EAST  224 STREET	11
EAST  225 STREET	8
EAST  226 STREET	1
EAST  227 STREET	2
EAST  228 STREET	9
EAST  229 DRIVE NORTH	1
EAST  229 STREET	8
EAST  230 STREET	1
EAST  231 STREET	6
EAST  232 STREET	3
EAST  233 STREET	29
EAST  234 STREET	4
EAST  235 STREET	2
EAST  236 STREET	4
EAST  237 STREET	3
EAST  239 STREET	1
EAST  240 STREET	2
EAST  241 STREET	7
EAST  242 STREET	7
EAST  243 STREET	20
EAST  52 STREET	6
EAST  57 STREET	5
EAST 1 STREET	940
EAST 10 ROAD	1
EAST 10 STREET	3634
EAST 100 STREET	446
EAST 100TH STREET	1
EAST 101 STREET	634
EAST 101ST STREET	1
EAST 102 STREET	679
EAST 102ND STREET	6
EAST 103 STREET	805
EAST 104 STREET	1125
EAST 104TH STREET	12
EAST 105 STREET	1146
EAST 105TH STREET	9
EAST 106 STREET	1071
EAST 106TH STREET	3
EAST 107 STREET	638
EAST 108 STREET	634
EAST 108TH STREET	2
EAST 109 STREET	925
EAST 109ST.	2
EAST 109TH STREET	4
EAST 10TH STREET	22
EAST 11 STREET	2575
EAST 110 STREET	944
EAST 110TH STREET	5
EAST 111 STREET	1430
EAST 111TH STREET	23
EAST 112 STREET	860
EAST 112TH STREET	4
EAST 113 STREET	30
EAST 114 STREET	232
EAST 115 STREET	1560
EAST 115TH STREET	17
EAST 116 ST-MARIN BOULEVARD	4
EAST 116 STREET	2534
EAST 116TH STREET	16
EAST 117 STEET	1
EAST 117 STREET	2051
EAST 117ST STREET	1
EAST 117TH STREET	10
EAST 118 STREET	1982
EAST 118TH STREET	13
EAST 119  STREET	1
EAST 119 STEERT	1
EAST 119 STREET	1542
EAST 119TH STREET	4
EAST 11TH STREET	10
EAST 12 STREET	2573
EAST 120 STREET	919
EAST 120TH STREET	2
EAST 121 STREET	429
EAST 122 STREET	528
EAST 123 STREET	700
EAST 123RD STREET	1
EAST 124 STREET	887
EAST 124TH STREET	5
EAST 125 STREET	945
EAST 126 STREET	1107
EAST 126TH STREET	41
EAST 127 STREET	465
EAST 127TH STREET	9
EAST 128 STREET	370
EAST 128TH STREET	1
EAST 129 STREET	626
EAST 129TH STREET	5
EAST 12TH STREET	30
EAST 13 STREET	2112
EAST 130 STREET	424
EAST 131 STREET	243
EAST 131ST STREET	1
EAST 132 STREET	272
EAST 132ND STREET	4
EAST 133 STREET	130
EAST 134 STREET	333
EAST 134TH STREET	18
EAST 135 STREET	193
EAST 136 STREET	231
EAST 136TH STREET	2
EAST 137 STREET	260
EAST 138 STREET	880
EAST 138TH STREET	6
EAST 139 STREET	925
EAST 139TH STREET	7
EAST 13TH STREET	15
EAST 14 STREET	1543
EAST 140 STREET	565
EAST 140TH STREET	1
EAST 141 STREET	610
EAST 141ST ST	1
EAST 141ST STREET	3
EAST 142 STREET	448
EAST 142ND ST	1
EAST 142ND STREET	3
EAST 143 STREET	242
EAST 143RD STREET	7
EAST 144 STREET	377
EAST 145 STREET	304
EAST 145TH STREET	7
EAST 146 STREET	254
EAST 146TH STREET	18
EAST 147 STREET	370
EAST 147TH STREET	2
EAST 148 STREET	456
EAST 148TH STREET	53
EAST 149 STREET	761
EAST 149TH STREET	15
EAST 14TH STREET	12
EAST 15 STREET	522
EAST 150 STREET	550
EAST 151 STREET	448
EAST 151ST STREET	15
EAST 152 STREET	358
EAST 152ND STREET	9
EAST 153 STREET	358
EAST 153RD STREET	7
EAST 154 STREET	302
EAST 154TH STREET	9
EAST 155 STREET	276
EAST 155TH STREET	5
EAST 156 STREET	757
EAST 156TH STREET	4
EAST 157 STREET	89
EAST 158 STREET	414
EAST 158TH STREET	2
EAST 159 STREET	396
EAST 15TH STREET	10
EAST 16 STREET	436
EAST 160 STREET	401
EAST 160TH STREET	7
EAST 161 ST	3
EAST 161 STREET	1404
EAST 161ST STREET	1
EAST 162 STREET	1224
EAST 162ND STREET	2
EAST 163 STREET	1997
EAST 163RD STREET	16
EAST 164 STREET	1248
EAST 165 STREET	1870
EAST 165TH STREET	4
EAST 166 STREET	1238
EAST 166TH STREET	3
EAST 167 STREET	2279
EAST 167TH STREET	4
EAST 168 STREET	1574
EAST 168TH STREET	24
EAST 169 STREET	2823
EAST 169TH STREET	34
EAST 16TH STREET	7
EAST 17 STREET	612
EAST 170 STREET	1550
EAST 170TH STREET	4
EAST 171 ST	5
EAST 171 STREET	376
EAST 171ST STREET	4
EAST 172 STREET	1654
EAST 172ND STREET	5
EAST 173 STREET	1251
EAST 173RD STREET	6
EAST 174 STREET	969
EAST 174TH STREET	2
EAST 175 STREET	2071
EAST 175TH STREET	4
EAST 176 STREET	2390
EAST 176TH STREET	16
EAST 177 STREET	720
EAST 177TH ST	3
EAST 177TH STREET	8
EAST 178 STREET	2935
EAST 178TH STREET	1
EAST 179 STREET	3049
EAST 179TH STREET	7
EAST 17TH ST	1
EAST 17TH STREET	12
EAST 18 STREET	934
EAST 180 STREET	2415
EAST 180TH STREET	3
EAST 181 STREET	2491
EAST 181ST STREET	1
EAST 182 STREET	2464
EAST 182ND STREET	20
EAST 183 STREET	2710
EAST 183RD STREET	5
EAST 184 STREET	1540
EAST 184TH STREET	3
EAST 185 STREET	863
EAST 186 STREET	471
EAST 187 STREET	2931
EAST 187TH ST	1
EAST 187TH STREET	11
EAST 188 STREET	1388
EAST 189 STREET	746
EAST 18TH STREET	20
EAST 19 STREET	941
EAST 190 STREET	183
EAST 190TH STREET	2
EAST 191 STREET	358
EAST 191ST STREET	1
EAST 192 STREET	22
EAST 193 STREET	409
EAST 194 STREET	970
EAST 194TH STREET	14
EAST 195 STREET	255
EAST 196 STREET	692
EAST 196TH STREET	22
EAST 197 STREET	733
EAST 197TH STREET	5
EAST 198 STREET	2014
EAST 198TH STREET	11
EAST 199 STREET	630
EAST 199TH STREET	2
EAST 19TH STREET	35
EAST 1ST STREET	2
EAST 2 STREET	2573
EAST 20 STREET	275
EAST 201 STREET	976
EAST 202 STREET	649
EAST 202ND STREET	1
EAST 203 STREET	908
EAST 204 STREET	1044
EAST 204TH STREET	2
EAST 205 STREET	926
EAST 206 STREET	689
EAST 206TH STREET	3
EAST 207 STREET	696
EAST 207TH STREET	1
EAST 208 STREET	448
EAST 208TH STREET	4
EAST 209 STREET	485
EAST 209TH STREET	15
EAST 20TH STREET	3
EAST 21 STREET	746
EAST 210 STREET	161
EAST 211 STREET	371
EAST 212 STREET	216
EAST 213 STREET	584
EAST 213TH STREET	3
EAST 214 STREET	449
EAST 214TH STREET	3
EAST 215 STREET	381
EAST 216 STREET	218
EAST 216TH STREET	7
EAST 217 STREET	141
EAST 217TH STREET	2
EAST 218 STREET	98
EAST 219 STREET	129
EAST 219TH STREET	2
EAST 21ST STREET	46
EAST 22 STREET	438
EAST 220 STREET	130
EAST 220TH STREET	1
EAST 221 STREET	101
EAST 222 STREET	177
EAST 222ND STREET	4
EAST 223 STREET	250
EAST 223RD STREET	5
EAST 224 STREET	283
EAST 224TH STREET	3
EAST 225 STREET	136
EAST 225TH STREET	7
EAST 226 STREET	46
EAST 227 STREET	78
EAST 227TH STREET	2
EAST 228 STREET	148
EAST 228TH STREET	2
EAST 229 STREET	122
EAST 229TH STREET	1
EAST 22ND STREET	8
EAST 23 STREET	549
EAST 230 STREET	74
EAST 230TH STREET	1
EAST 231 STREET	95
EAST 231ST STREET	3
EAST 232 STREET	85
EAST 232ND STREET	1
EAST 233 STREET	146
EAST 233RD ST	1
EAST 233RD STREET	5
EAST 234 STREET	91
EAST 234TH STREET	1
EAST 235 STREET	100
EAST 235TH STREET	2
EAST 236 STREET	117
EAST 236TH STREET	3
EAST 237 STREET	42
EAST 238 STREET	23
EAST 239 STREET	45
EAST 239TH STREET	4
EAST 23RD STREET	6
EAST 24 STREET	282
EAST 240 STREET	62
EAST 240TH STREET	9
EAST 241 STREET	33
EAST 241ST STREET	2
EAST 242 STREET	62
EAST 242ND STREET	4
EAST 243 STREET	40
EAST 24TH STREET	1
EAST 25 STREET	357
EAST 25TH STREET	10
EAST 26 STREET	544
EAST 26TH STREET	9
EAST 27 STREET	371
EAST 27TH STREET	6
EAST 28 STREET	560
EAST 28TH STREET	9
EAST 29 STREET	721
EAST 29TH STREET	8
EAST 2ND STREET	17
EAST 3	1
EAST 3 STREET	2748
EAST 30 STREET	708
EAST 30TH STREET	7
EAST 31 STREET	828
EAST 31ST STREET	7
EAST 32 STREET	596
EAST 32ND STREET	12
EAST 33 STREET	552
EAST 33RD STREET	3
EAST 34 STREET	693
EAST 34TH STREET	14
EAST 35 STREET	873
EAST 35TH STREET	15
EAST 36 STREET	474
EAST 36TH STREET	6
EAST 37 ST EXTENSION	2
EAST 37 STREET	534
EAST 37TH STREET	6
EAST 38 ST EXTENSION	3
EAST 38 STREET	632
EAST 38TH STREET	1
EAST 39 STREET	534
EAST 39TH STREET	6
EAST 3RD STREET	20
EAST 4 STREET	2152
EAST 4 WALK	1
EAST 40 STREET	224
EAST 41 STREET	80
EAST 42 STREET	278
EAST 42ND STREET	1
EAST 43 STREET	261
EAST 43RD STREET	2
EAST 44 STREET	195
EAST 44TH STREET	2
EAST 45 STREET	439
EAST 45TH STREET	6
EAST 46 STREET	489
EAST 46TH STREET	5
EAST 47 STREET	183
EAST 48 STREET	517
EAST 48TH STREET	5
EAST 49 STREET	637
EAST 49TH STREET	4
EAST 4TH STREET	26
EAST 5 STREET	2458
EAST 5 TH STREET	1
EAST 50 STREET	808
EAST 51 STREET	864
EAST 51ST STREET	9
EAST 52 STREET	852
EAST 52ND STREET	12
EAST 53 PLACE	20
EAST 53 STREET	682
EAST 53RD STREET	12
EAST 54 STREET	490
EAST 55 STREET	460
EAST 55TH STREET	11
EAST 56 STREET	393
EAST 56TH STREET	3
EAST 57 STREET	599
EAST 57TH STREET	3
EAST 58 STREET	793
EAST 58TH STREET	4
EAST 59 STREET	519
EAST 59TH STREET	1
EAST 5TH	1
EAST 5TH STREET	22
EAST 6 ROAD	2
EAST 6 STREET	3591
EAST 60 STREET	810
EAST 61	2
EAST 61 STREET	1157
EAST 61ST STREET	2
EAST 62 STREET	1325
EAST 62ND STREET	8
EAST 63 STREET	881
EAST 63RD STREET	2
EAST 64 STREET	1050
EAST 65 STREET	906
EAST 65TH STREET	2
EAST 66 STREET	764
EAST 66TH STREET	6
EAST 67 STREET	522
EAST 67TH STREET	3
EAST 68 STREET	550
EAST 69 STREET	824
EAST 69TH STREET	2
EAST 6TH STREET	5
EAST 7 STREET	3098
EAST 70 STREET	943
EAST 70TH STREET	2
EAST 71 STREET	978
EAST 71ST STREET	3
EAST 72 STREET	993
EAST 72ND STREET	2
EAST 73	1
EAST 73 STREET	1462
EAST 73RD STREET	15
EAST 74 STREET	1410
EAST 74TH STREET	28
EAST 75 STREET	1067
EAST 76 STREET	799
EAST 76TH STREET	5
EAST 77 STREET	1154
EAST 77TH STREET	6
EAST 78 STREET	1786
EAST 78TH STREET	5
EAST 79 STREET	984
EAST 7TH STREET	9
EAST 8 ROAD	5
EAST 8 STREET	1008
EAST 80 STREET	1331
EAST 80TH STREET	2
EAST 81 STREET	1923
EAST 81ST STREET	8
EAST 82 STREET	2017
EAST 82ND STREET	10
EAST 82ST	1
EAST 83 STREET	2521
EAST 83RD STREET	8
EAST 84 STREET	1618
EAST 84TH STREET	3
EAST 85 STREET	1368
EAST 85TH STREET	9
EAST 86 STREET	926
EAST 86TH STREET	6
EAST 87 STREET	1657
EAST 87TH STREET	5
EAST 88 STREET	1792
EAST 88TH STREET	52
EAST 89 STREET	1508
EAST 89TH STREET	12
EAST 8TH STREET	13
EAST 9 STREET	2638
EAST 90 STREET	1147
EAST 90TH STREET	7
EAST 91 STREET	1166
EAST 91ST STREET	3
EAST 92 STREET	1397
EAST 92ND STREET	10
EAST 93 STREET	1464
EAST 93RD STREET	9
EAST 94 STREET	942
EAST 94TH STREET	8
EAST 95 STREET	1178
EAST 95TH STREET	20
EAST 96 STREET	1049
EAST 96TH STREET	23
EAST 97 STREET	600
EAST 97TH STREET	6
EAST 98 STREET	362
EAST 99 STREET	262
EAST 99TH STREET	7
EAST 9TH STREET	10
EAST AVENUE	3
EAST BAY AVENUE	62
EAST BEDFORD PARK BOULEVARD	3
EAST BRANDIS AVENUE	14
EAST BROADWAY	2480
EAST BUCHANAN STREET	2
EAST BURNSIDE AVENUE	748
EAST CLARKE PLACE	50
EAST DRIVE	1
EAST END AVENUE	526
EAST FIFTH STREET	1
EAST FIGUREA AVENUE	2
EAST FIRST STREET	2
EAST FORDHAM ROAD	1762
EAST FOURTH STREET	1
EAST GUN HILL ROAD	868
EAST GUNHILL ROAD	104
EAST HAMPTON BOULEVARD	3
EAST HOUSTON STREET	935
EAST KINGSBDGE ROAD	4
EAST KINGSBRIDGE RD	783
EAST KINGSBRIDGE ROAD	103
EAST LOOP ROAD	9
EAST MACON AVENUE	2
EAST MOSHOLU PARKWAY	158
EAST MOSHOLU PARKWAY NORTH	133
EAST MOSHOLU PARKWAY SOUTH	88
EAST MOUNT EDEN AVENUE	4
EAST MT EDEN AVENUE	400
EAST NEW YORK	1
EAST NEW YORK AVE	1
EAST NEW YORK AVENUE	677
EAST NY AVENUE	5
EAST PERIKOMEN AVENUE	2
EAST PERKIOMEN	2
EAST PERKIOMEN AVE	32
EAST PERKIOMEN AVENUE	2
EAST RALEIGH AVENUE	1
EAST READING AVENUE	17
EAST RIVER	2
EAST RIVER DRIVE	1
EAST SCRANTON AVENUE	4
EAST SECOND STREET	4
EAST SERVICE ROAD	9
EAST SEVENTH STREET	2
EAST SIXTH STREET	1
EAST STROUD AVENUE	7
EAST TENTH STREET	5
EAST THIRD STREET	4
EAST TREMONT AVENUE	4824
EAST WILLISTON AVENUE	3
EASTBURN AVENUE	903
EASTCHESTER RD	1
EASTCHESTER ROAD	271
EASTERN PARKWAY	5414
EASTERN PARKWAY EXT	43
EASTERN PARKWAY EXTENSION	66
EASTERN PKWY	35
EATON COURT	5
EATON PLACE	6
EBBITTS STREET	50
EBDITTS STREET	2
EBEY LANE	4
EBONY COURT	8
EBONY STREET	1
ECFORD STREET	2
ECHO PLACE	519
ECKFORD AVENUE	22
ECKFORD STREET	154
ED KOCH QUEENSBORO BRIDGE	1
EDDY STREET	1
EDENWALD AVE	1
EDENWALD AVENUE	27
EDGAR ALLAN POE STREET	1
EDGAR STREET	1
EDGAR TERRACE	2
EDGECOMB AVENUE	51
EDGECOMBE AVE	1
EDGECOMBE AVENUE	1677
EDGEGROVE AVENUE	69
EDGEMERE AVENUE	5
EDGERTON BOULEVARD	4
EDGERTON ROAD	1
EDGEVIEW LANE	4
EDGEWATER PARK	8
EDGEWATER PLAZA	1
EDGEWATER ROAD	114
EDGEWATER STREET	38
EDGEWOOD AVENUE	20
EDGEWOOD STREET	7
EDINBORO ROAD	11
EDISON AVE	1
EDISON AVENUE	427
EDISON STREET	5
EDMORE AVENUE	7
EDSALL AVE	2
EDSALL AVENUE	3
EDSON AVENUE	162
EDWARD GRANT HIGHWAY	3
EDWARD L GRANT HIGHWAY	31
EDWARD L GRANT HWY	745
EDWARD M MORGAN PLACE	1
EDWARD MORGAN PLACE	6
EDWARDS AVENUE	95
EFFINGHAM AVENUE	11
EGAN AVENUE	1
EGAN STREET	60
EGBERT AVENUE	42
EGER PLACE	21
EGGERT PLACE	13
EGMONT PLACE	7
EIGHT STREET	1
EIGHTH AVENUE	6
EINSTEIN LOOP	1
EINSTEIN LOOP EAST	1
EL CAMINO LOOP	3
ELBE AVENUE	12
ELBERTSON STREET	415
ELDER AVE	1
ELDER AVENUE	2183
ELDERT LANE	392
ELDERT STREET	395
ELDERTS LANE	16
ELDRIDGE AVENUE	10
ELDRIDGE ST	2
ELDRIDGE STREET	1636
ELEANOR PLACE	3
ELGAR PLACE	1
ELIOT AVENUE	92
ELIZABETH AVENUE	16
ELIZABETH ST	11
ELIZABETH STREET	1204
ELK DRIVE	12
ELK ST. AND AMP; CHAMBERS ST.	1
ELK STREET	10
ELKMONT AVENUE	2
ELKS ROAD	24
ELLERY STREET	268
ELLINGTON STREET	6
ELLIOT PLACE	469
ELLIOTT PLACE	3
ELLIS AVENUE	647
ELLIS STREET	4
ELLISON AVENUE	59
ELLSWORTH AVENUE	144
ELLSWORTH PLACE	9
ELLWOOD AVENUE	2
ELLWOOD ST	1
ELLWOOD STREET	352
ELM AVENUE	7
ELM PLACE	496
ELM STREET	62
ELM TREE AVENUE	1
ELMHURST AVE	2
ELMHURST AVENUE	286
ELMIRA AVENUE	5
ELMTREE AVENUE	1
ELMWOOD AVENUE	56
ELMWOOD PARK DRIVE	1
ELSMERE PLACE	1149
ELSON STREET	1
ELTINGEVILLE BOULEVARD	7
ELTINGVILL BOULEVARD	1
ELTINGVILLE BLVD	13
ELTINGVILLE BOULEVARD	40
ELTON AVE	2
ELTON AVENUE	380
ELTON STREET	558
ELVERTON AVE	1
ELVERTON AVENUE	14
ELVIN ST	1
ELVIN STREET	41
ELWOOD AVENUE	16
ELY AVENUE	82
ELY STREET	97
EMERALD STREET	67
EMERIC COURT	21
EMERSON AVENUE	30
EMERSON COURT	5
EMERSON DRIVE	4
EMERSON PLACE	120
EMILY LANE	7
EMMET AVENUE	9
EMMONS AVENUE	111
EMPIRE BLVD	2
EMPIRE BOULEVARD	1267
END PLACE	3
ENDOR AVENUE	1
ENDVIEW STREET	2
ENFIELD PLACE	1
ENGERT AVENUE	44
ENGLEWOOD AVENUE	2
ENRIGHT ROAD	10
ERASMUS STREET	72
ERASTINA PLACE	18
ERDMAN PLACE	1
ERICSON PLACE	15
ERICSSON STREET	6
ERIKA LOOP	5
ERKSINE PLACE	1
ERSKINE PLACE	4
ERSKINE STREET	1
ESCANABA AVENUE	4
ESPLANADE	44
ESPLANADE AVENUE	10
ESPLANADE GARDENS PLAZA	1
ESPLANADE GDNS PLAZA	64
ESSEX	1
ESSEX DRIVE	8
ESSEX STREET	1589
ESTHER DEPEW STREET	1
ETNA STREET	331
ETON PLACE	3
ETON STREET	7
EUCLID AVE	1
EUCLID AVENUE	439
EUGENE ST	1
EUGENE STREET	2
EUNICE PLACE	10
EVA AVENUE	38
EVAN PLACE	1
EVANS STREET	26
EVELETH ROAD	5
EVELYN PLACE	145
EVERDELL AVENUE	10
EVERGREEN AVE	11
EVERGREEN AVENUE	3590
EVERGREEN STREET	16
EVERIT STREET	7
EVERTON AVENUE	7
EVERTON PLACE	4
EXCHANGE PLACE	23
EXETER STREET	35
EXTERIOR STREET	73
EXTRA PLACE	12
EYLANDT STREET	5
F D R DRIVE	367
FABER STREET	21
FABER TERRACE	4
FABIAN STREET	3
FAHY AVENUE	9
FAILE ST	7
FAILE STREET	1302
FAILLE STREET	5
FAIRBANK AVENUE	4
FAIRBANKS AVENUE	15
FAIRFAX AVENUE	43
FAIRFIELD AVENUE	4
FAIRFIELD STREET	2
FAIRLAWN AVENUE	1
FAIRLAWN LOOP	1
FAIRMONT PLACE	33
FAIRMOUNT	1
FAIRMOUNT AVENUE	75
FAIRMOUNT PLACE	1111
FAIRVIEW AVENUE	468
FAIRVIEW PLACE	31
FAIRWAY AVENUE	7
FAITH COURT	2
FALCON AVENUE	7
FALMOUTH STREET	3
FANCHER PLACE	4
FANCHON PLACE	29
FANE COURT	1
FANNING STREET	25
FAR ROCKAWAY BLVD	7
FAR ROCKAWAY BOULEVARD	10
FARMERS BOULEVARD	318
FARRADAY STREET	1
FARRAGUT AVENUE	1
FARRAGUT ROAD	96
FARRAGUT STREET	2
FARRINGTON ST	2
FARRINGTON STREET	93
FARTHER CAPODANNO BOULEVARD	1
FATHER CAPODANNO BLVD	7
FATHER CAPODANNO BOULEVARD	105
FATHER DEMO SQUARE PARK.	11
FATHER ZEIS PLACE	3
FATHER ZEISER PLACE	237
FAWN LANE	1
FAY COURT	3
FAYETTE STREET	250
FDR	1
FDR DR	1
FDR DRIVE	32
FDR DRIVE WEST LANE	18
FEARN PLACE	3
FEATHER BED LANE	1
FEATHERBED LANE	645
FEDERAL PLACE	16
FEDERAL PLAZA	2
FENIMORE STREET	267
FENTON AVENUE	224
FENWAY CIRCLE	9
FERN PLACE	28
FERNDALE AVENUE	34
FERNSIDE PLACE	2
FERRIS PLACE	25
FIEDLER AVENUE	17
FIELD PLACE	71
FIELD STREET	7
FIELDER AVENUE	2
FIELDS AVENUE	1
FIELDSTON ROAD	56
FIELDSTON TERRACE	4
FIELDSTONE TERRACE	2
FIELDWAY AVENUE	7
FIFTH AVENUE	40
FIFTH STREET	4
FIGUERA AVENUE	1
FIGUREA AVENUE	5
FILIPE LANE	1
FILLMORE AVENUE	18
FILLMORE PLACE	83
FILLMORE STREET	88
FINDLAY AVE	1
FINDLAY AVENUE	2772
FINDLAY AVENUE,	1
FINGERBOAR ROAD	2
FINGERBOARD ROAD	83
FINK AVENUE	2
FINLAY AVENUE	30
FINLAY STREET	2
FINLEY AVENUE	114
FINLEY ROAD	6
FIRST AVENUE	80
FIRST COURT	1
FIRST STREET	6
FISH AVE	1
FISH AVENUE	194
FISHER AVENUE	11
FISKE AVENUE	2
FISKE PLACE	11
FITCHETT STREET	4
FITZGERALD AVENUE	4
FLAGG PLACE	1
FLATBUSH AVE	10
FLATBUSH AVENUE	1371
FLATBUSH AVENUE EXT	56
FLATBUSH AVENUE EXTENSION	71
FLATLAND AVENUE	16
FLATLANDS    2 STREET	1
FLATLANDS 1 STREET	3
FLATLANDS 10 STREET	5
FLATLANDS 2 STREET	13
FLATLANDS 4 STREET	9
FLATLANDS 6 STREET	1
FLATLANDS 8 STREET	7
FLATLANDS 9 STREET	5
FLATLANDS 9TH STREET	1
FLATLANDS AVE	2
FLATLANDS AVENUE	268
FLATLANDS THIRD STREET	3
FLEET COURT	6
FLEET PLACE	11
FLEET STREET	17
FLEET WALK	6
FLETCHER PLACE	36
FLETCHER STREET	10
FLINT STREET	1
FLORENCE AVENUE	6
FLORENCE PLACE	2
FLORENCE STREET	1
FLOYD STREET	20
FLUSHING AVE	16
FLUSHING AVENUE	2456
FOAM PLACE	11
FOCH AVENUE	9
FOCH BOULEVARD	179
FOLIN STREET	21
FOLSOM PLACE	17
FONDA AVENUE	2
FOOD CENTER DRIVE	1
FOOTHILL AVENUE	13
FORBELL STREET	270
FORCE TUBE AVENUE	21
FORD STREET	133
FORDHAM HILL	1
FORDHAM HILL OVAL	23
FORDHAM PLACE	33
FORDHAM ST	1
FORDHAM STREET	98
FOREST AVE	6
FOREST AVENUE	2363
FOREST GREEN	2
FOREST HILL ROAD	45
FOREST PARKWAY	20
FOREST ROAD	3
FOREST STREET	10
FORLEY STREET	395
FORREST STREET	235
FORSYTH STREET	717
FORT CHARLES PL	1
FORT CHARLES PLACE	7
FORT GEORGE AVENUE	68
FORT GEORGE HILL	24
FORT GREEN PLACE	55
FORT GREENE PLACE	168
FORT HAMILTN PARKWAY	10
FORT HAMILTON PARKWA	2
FORT HAMILTON PARKWAY	182
FORT HAMILTON PKWY	3
FORT HILL CIRCLE	3
FORT HILL PARK	3
FORT INDEPENDENCE COMMUNITY CTR	1
FORT INDEPENDENCE ST	2
FORT INDEPENDENCE STREET	59
FORT PLACE	43
FORT WASHINGTON AVE	5
FORT WASHINGTON AVENUE	468
FOSTER AVE	5
FOSTER AVENUE	292
FOSTER ROAD	9
FOUNTAIN AVENUE	342
